0x0000	0x00-1
0x0462	0x59FB
0x0463	0x5A11
0x0464	0x5A18
0x0465	0x5A1C
0x0466	0x5A1F
0x0467	0x5A1B
0x0468	0x5A13
0x0469	0x59EC
0x046A	0x5A20
0x046B	0x5A23
0x046C	0x5A29
0x046D	0x5A25
0x046E	0x5A0C
0x046F	0x5A36
0x0470	0x5A41
0x0471	0x5A49
0x0472	0x5A66
0x0473	0x5A6A
0x0474	0x5A40
0x0475	0x5A3C
0x0476	0x5A62
0x0477	0x5A5A
0x0478	0x5A46
0x0479	0x5A4A
0x047A	0x5A77
0x047B	0x5A9A
0x047C	0x5A7F
0x047D	0x5A92
0x047E	0x5A9B
0x047F	0x5AC1
0x0480	0x5AC9
0x0481	0x5ACC
0x0482	0x5ABE
0x0483	0x5ABD
0x0484	0x5ABC
0x0485	0x5AB3
0x0486	0x5AC2
0x0487	0x5AB2
0x0488	0x5AE1
0x0489	0x5AE6
0x048A	0x5AE9
0x048B	0x5AD7
0x048C	0x5AD6
0x048D	0x5AD8
0x048E	0x5AE3
0x048F	0x5B09
0x0490	0x5AFB
0x0491	0x5B0B
0x0492	0x5AF5
0x0493	0x5B0C
0x0494	0x5B1D
0x0495	0x5B34
0x0496	0x5B30
0x0497	0x5B2A
0x0498	0x5B24
0x0499	0x5B38
0x049A	0x5B40
0x049B	0x5B50
0x049C	0x5B51
0x049D	0x5B53
0x049E	0x5B54
0x049F	0x5B55
0x04A0	0x5B57
0x04A1	0x5B58
0x04A2	0x5B5D
0x04A3	0x5B5C
0x04A4	0x5B5A
0x04A5	0x5B5F
0x04A6	0x5B64
0x04A7	0x5B63
0x04A8	0x5B69
0x04A9	0x5B6B
0x04AA	0x5B70
0x04AB	0x5B73
0x04AC	0x5B71
0x04AD	0x5B75
0x04AE	0x5B78
0x04AF	0x5B7A
0x04B0	0x5B7D
0x04B1	0x5B7F
0x04B2	0x5B83
0x04B3	0x5B87
0x04B4	0x5B88
0x04B5	0x5B85
0x04B6	0x5B89
0x04B7	0x5B8C
0x04B8	0x5B8B
0x04B9	0x5B8F
0x04BA	0x5B97
0x04BB	0x5B9A
0x04BC	0x5B98
0x04BD	0x5B9C
0x04BE	0x5B99
0x04BF	0x5B9B
0x04C0	0x5BA3
0x04C1	0x5BA6
0x04C2	0x5BA4
0x04C3	0x5BA2
0x04C4	0x5BA5
0x04C5	0x5BB0
0x04C6	0x5BB3
0x04C7	0x5BB6
0x04C8	0x5BB4
0x04C9	0x5BAE
0x04CA	0x5BB5
0x04CB	0x5BB9
0x04CC	0x5BB8
0x04CD	0x5BC7
0x04CE	0x5BC5
0x04CF	0x5BC4
0x04D0	0x5BC2
0x04D1	0x5BBF
0x04D2	0x5BC6
0x04D3	0x5BD2
0x04D4	0x5BCC
0x04D5	0x5BD3
0x04D6	0x5BD0
0x04D7	0x5BDE
0x04D8	0x5BE7
0x04D9	0x5BE1
0x04DA	0x5BE5
0x04DB	0x5BE6
0x04DC	0x5BE8
0x04DD	0x5BE2
0x04DE	0x5BE4
0x04DF	0x5BDF
0x04E0	0x5BEE
0x04E1	0x5BEC
0x04E2	0x5BE9
0x04E3	0x5BEB
0x04E4	0x5BF5
0x04E5	0x5BF6
0x04E6	0x5BF8
0x04E7	0x5BFA
0x04E8	0x5C01
0x04E9	0x5C04
0x04EA	0x5C09
0x04EB	0x5C08
0x04EC	0x5C07
0x04ED	0x5C0A
0x04EE	0x5C0B
0x04EF	0x5C0D
